date,Bin00,Bin00_counts_ml,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
4/23/2019 17:32,2.405,0.4625,0.2,0.401,0.2,0.2,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,7.33,9.33,0,0,3.808,4.99,5.2,30.5,28.8,0,0,614,4,0,609,0.06,0.15,13.45,0.05,0.29,4.88
4/23/2019 17:32,3.206,0.623735409,0.401,0.401,0.401,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67,9.33,0,11.67,4.81,4.99,5.14,30.5,28.9,0,0,608,3,0,609,0.08,0.33,0.96,0.06,0.3,4.91
4/23/2019 17:32,3.006,0.581431335,0.401,0.2,0.2,0,0.401,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,7.33,8.33,10.67,0,4.409,4.99,5.17,30.5,28.8,2,0,586,3,0,609,0.06,0.28,8.69,0.06,0.3,4.91
4/23/2019 17:33,4.208,0.825098039,0.401,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,5.01,4.99,5.1,30.5,28.8,4,0,583,4,0,609,0.05,0.13,3.25,0.05,0.3,4.84
4/23/2019 17:33,4.609,0.893217054,0.601,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,10,12.67,0,6.012,4.99,5.16,30.6,28.8,1,0,600,6,0,609,0.07,0.31,1.93,0.05,0.3,4.88
4/23/2019 17:33,4.81,0.923224568,0.401,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11.33,0,0,5.411,4.99,5.21,30.6,28.8,4,0,567,4,0,609,0.05,0.07,0.07,0.05,0.28,4.71
4/23/2019 17:33,3.607,0.6716946,1.403,0.601,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6.012,4.99,5.37,30.6,28.8,0,0,561,0,0,609,0.08,0.19,3.16,0.05,0.28,4.5
4/23/2019 17:33,3.607,0.681852552,0.2,0,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,4.208,4.99,5.29,30.6,28.7,2,0,542,2,0,609,0.05,0.14,0.15,0.05,0.28,4.45
4/23/2019 17:33,2.405,0.45463138,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,3.006,4.99,5.29,30.6,28.7,2,0,542,2,0,609,0.03,0.23,0.42,0.05,0.27,4.16
4/23/2019 17:34,2.806,0.531439394,0.401,0.401,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,8,0,0,3.808,4.99,5.28,30.6,28.7,1,0,614,3,0,610,0.05,0.08,0.08,0.05,0.28,4.16
